2019-06-10-14-38-30-702,15,-64.0292,429.165,3371.69,-82.863,247.586,3399.49,-231.003,233.242,3374,-277.405,-10.5953,3363.35,-255.162,-287.078,3286.08,65.9325,235.667,3423.29,100.561,-10.3425,3421.32,109.721,-283.788,3331.59,-89.0015,21.1771,3446.12,-95.1644,-161.095,3444.74,-201.087,-190.525,3443.99,-152.947,-558.536,3400.73,-135.943,-902.295,3556.18,-0.632957,-200.589,3485.35,-21.6151,-570.731,3438.7,-72.6307,-918.549,3576.71,-258.869,-240.998,3298.96,108.194,-238.214,3346.55,-80.8635,321.331,3384.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-30-859,15,-64.2817,430.434,3369.91,-83.2944,249.591,3399.78,-231.121,234.752,3373.74,-276.771,-8.81823,3361.9,-258.335,-286.152,3285.95,65.5243,237.433,3422.46,102.141,-7.91278,3421.56,111.14,-281.245,3330.44,-89.3892,23.7504,3447.43,-95.6559,-158.203,3445.64,-200.975,-186.443,3444.65,-153.841,-554.591,3401.5,-137.472,-900.052,3552.29,-0.454431,-195.702,3483.35,-20.7588,-566.182,3439.46,-70.5304,-914.171,3576.93,-261.409,-239.93,3298.61,109.64,-235.689,3345.63,-81.3064,323.258,3384.24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-008,15,-65.0048,434.863,3365.33,-84.3,256.306,3400.88,-231.324,240.479,3373.75,-275.272,-2.18566,3359.62,-265.423,-280.184,3284.23,64.0854,243.147,3421.06,104.995,-0.392201,3421.66,114.166,-273.516,3329.12,-90.352,32.5359,3451.21,-96.9183,-148.685,3448.38,-199.177,-178.815,3446.26,-155.555,-547.303,3402.6,-141.425,-896.506,3541,-2.44815,-186.196,3480.67,-19.3723,-557.24,3440.58,-63.445,-907.753,3569.77,-267.066,-233.851,3296.8,112.637,-227.995,3344.54,-82.3136,329.749,3384.35,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-145,15,-65.448,441.219,3359.65,-85.3693,265.104,3402.31,-230.116,246.144,3374.42,-273.481,4.94152,3357.37,-271.882,-273.769,3282.1,61.7187,249.529,3419.5,107.187,8.1741,3421.45,116.594,-264.694,3326.86,-91.4021,44.1659,3455.06,-98.3235,-136.095,3451.74,-197.31,-170.437,3447.4,-157.308,-539.245,3402.98,-145.092,-888.597,3539.25,-4.70127,-175.935,3477.78,-17.801,-547.517,3441.3,-52.083,-898.921,3568.28,-272.149,-227.317,3294.64,115.026,-219.216,3342.62,-83.3699,338.325,3384.81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-290,15,-65.5623,445.864,3355.73,-86.0642,271.144,3403.23,-228.399,248.861,3374.52,-272.013,8.49994,3356.02,-275.155,-270.079,3280.61,59.6535,253.098,3418.54,108.049,12.9749,3420.72,118.119,-259.654,3326.19,-92.058,51.9536,3456.41,-99.219,-127.318,3453.94,-197.472,-166.145,3447.21,-158.359,-535.186,3403.74,-146.439,-883.237,3541.29,-5.08137,-170.732,3476.05,-17.0323,-542.608,3441.85,-44.612,-895.526,3563.79,-274.632,-223.65,3293.17,116.441,-214.216,3341.95,-84.0636,344.309,3385.47,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-428,15,-65.5039,448.197,3353.68,-86.4036,273.952,3403.59,-226.869,248.974,3374.14,-271.711,9.72109,3354.93,-274.91,-268.666,3279.61,58.422,254.196,3418.19,108.276,15.1745,3420.66,118.82,-257.407,3326.96,-92.2747,54.8676,3455.66,-99.5158,-123.306,3454.9,-199.313,-164.764,3445.85,-158.409,-533.828,3404.26,-146.891,-884.262,3532.09,-3.70278,-169.731,3475.48,-17.0741,-541.668,3442.32,-41.2126,-897.12,3553.48,-274.377,-222.268,3292.16,117.063,-211.977,3342.58,-84.4408,347.202,3386.18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-572,15,-65.1288,448.882,3352.52,-86.5002,274.743,3403.6,-226.361,248.827,3373.55,-272.301,10.5067,3354.41,-274.708,-267.526,3279.11,57.7198,253.781,3418.22,108.684,15.7266,3421.5,119.053,-256.424,3327.7,-92.2758,54.6011,3454.12,-99.5134,-122.3,3455.07,-201.48,-164.613,3444.92,-158.243,-533.558,3404.64,-146.992,-885.016,3526.12,-1.78979,-170.37,3475.25,-17.4618,-542.287,3442.85,-40.6008,-896.6,3554.06,-274.307,-221.188,3291.66,117.324,-211.066,3343.33,-84.5747,348.127,3386.75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-712,15,-64.4815,448.681,3351.61,-86.5059,274.609,3403.46,-226.371,248.563,3372.81,-273.586,11.0443,3354.6,-274.949,-266.502,3279.04,57.4515,252.998,3418.5,109.019,15.7156,3422.95,119.236,-256.158,3329.6,-92.2589,53.1005,3452.88,-99.4708,-122.508,3454.9,-202.963,-164.767,3444.76,-158.176,-533.598,3405.06,-147.011,-884.254,3525.73,-0.703695,-171.335,3475.74,-17.7306,-543.147,3442.77,-41.6041,-894.396,3559.68,-274.722,-220.244,3291.64,117.533,-210.845,3345.16,-84.5973,348.096,3387.07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-31-853,15,-63.8869,448.782,3352.73,-86.5031,274.242,3403.82,-226.767,248.38,3372.95,-275.786,11.657,3356.04,-276.545,-265.315,3279.89,57.0106,252.424,3421.25,109.644,15.9167,3426.51,119.334,-256.602,3336.31,-92.3125,52.1236,3453.84,-99.5176,-122.382,3456.37,-203.429,-164.878,3446.51,-158.813,-533.502,3404.76,-146.872,-882.657,3528.41,-0.618615,-172.107,3477.08,-17.8288,-543.725,3442.1,-42.3612,-894.257,3559.84,-276.419,-219.153,3292.58,117.719,-211.182,3351.34,-84.5818,347.697,3387.28,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-10-14-38-32-005,15,-65.0508,449.644,3355.86,-87.533,274.012,3404.99,-230.447,252.261,3376.05,-279.74,16.1371,3358.9,-282.206,-260.797,3284.15,55.4751,251.133,3427.06,109.747,15.6383,3435.49,119.617,-259.209,3354.42,-96.3033,52.6758,3457.62,-103.466,-121.102,3460.83,-206.591,-165.48,3452.14,-160.268,-533.072,3404.02,-146.657,-881.66,3529.54,-5.07866,-171.964,3479.92,-17.2937,-543.344,3441.01,-42.9353,-894.608,3556.8,-281.795,-214.641,3296.61,117.972,-213.401,3367.93,-84.6301,347.224,3387.58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
