2019-06-06-16-18-27-519,145,39.8867,670.497,3777.02,24.8477,507.577,3833.28,-108.497,488.521,3797.98,-188.162,273.108,3745.7,-163.178,14.0296,3756.35,171.895,502.528,3845.12,198.054,651.461,3662.87,205.726,860.171,3506.3,11.3707,300.703,3896.7,-0.649163,121.246,3894.77,-92.9937,66.6988,3896.12,-50.2626,-284.644,3875.13,-17.6255,-598.332,3990.2,89.5306,66.3611,3916.29,78.1657,-287.896,3907.46,51.3957,-614.183,3981.71,-167.341,57.2095,3754.57,204.454,825.388,3532.4,29.26,575.303,3812.52
2019-06-06-16-18-27-788,145,44.047,668.185,3776.11,24.7865,507.549,3833.57,-107.317,488.218,3797.89,-188.471,273.871,3741.82,-164.246,15.1108,3758.03,169.904,504.081,3851.69,193.008,648.392,3665.35,199.556,855.423,3506.6,11.1714,301.388,3898.29,-0.917318,121.267,3895.2,-91.0921,69.8164,3896.02,-50.1966,-281.616,3875.21,-18.0146,-594.552,3991.24,88.5489,70.2508,3916.07,77.9478,-283.898,3907.34,49.4295,-608.503,3986.22,-168.284,58.2377,3755.33,198.471,820.918,3533.06,29.2547,575.207,3812.33
2019-06-06-16-18-28-054,145,48.3865,667.53,3776.89,24.7787,507.458,3833.64,-106.582,488.441,3797.86,-188.523,275.44,3736.44,-165.843,17.1074,3759.99,169.113,504.992,3853.1,201.078,637.608,3660.13,200.488,846.012,3503.49,11.1938,301.717,3898.99,-0.988746,120.831,3895.88,-90.8594,72.619,3896.03,-49.8345,-281.994,3875,-17.9114,-596.188,3986.34,88.78,73.0353,3916.11,77.1901,-284.24,3906.46,46.9893,-608.458,3984.65,-169.624,60.1628,3756.07,200.591,811.278,3529.59,29.2484,575.149,3812.14
2019-06-06-16-18-28-319,145,51.852,668.531,3780.61,24.8591,507.217,3833.33,-106.202,488.985,3797.88,-187.865,274.277,3733.51,-165.511,15.8806,3759.21,167.963,505.606,3855.49,225.543,601.402,3648.88,212.811,816.398,3502.58,11.5488,301.103,3898.04,-0.640513,119.458,3896.82,-91.8607,70.7214,3896.06,-49.058,-288.858,3874.57,-17.4663,-601.95,3989.08,89.725,70.2473,3916.29,77.2286,-292.155,3906.34,42.4549,-615.435,3986.47,-169.237,58.9465,3754.93,214.931,780.567,3526.96,29.2441,575.122,3812.02
2019-06-06-16-18-28-578,145,53.5012,670.479,3786.12,25.002,506.87,3832.89,-106.02,489.512,3797.96,-185.77,273.424,3731.54,-164.729,13.85,3756.18,166.533,504.192,3856.03,244.378,552.556,3639.78,221.505,775.534,3505.69,12.1479,300.042,3896.35,0.0664838,117.876,3898.08,-93.4048,65.2822,3896.14,-48.0729,-298.732,3874.12,-16.4337,-611.634,3990.23,91.7361,64.4566,3916.71,77.3716,-302.601,3906.26,38.1143,-625.381,3987.87,-168.236,57.1126,3752.08,225.313,738.373,3528.04,29.2419,575.091,3811.95
2019-06-06-16-18-28-828,145,52.6343,672.878,3792.42,25.1698,506.415,3832.4,-106.071,489.875,3798.01,-182.104,271.973,3730.87,-165.513,11.1839,3753.65,164.49,500.41,3855.32,256.108,506.875,3636.32,221.477,735.722,3513.5,12.8297,298.482,3894.49,0.95194,116.171,3899.35,-95.5236,59.2615,3896.18,-47.1325,-307.859,3873.67,-15.5702,-620.586,3992.13,94.1066,57.3331,3917.25,77.4418,-313.107,3906.11,36.2865,-635.93,3989.34,-168.278,54.6488,3749.85,227.245,697.581,3533.97,29.2406,575.006,3811.92
2019-06-06-16-18-29-101,145,49.3983,675.057,3796.83,25.2975,505.943,3832.21,-106.286,489.878,3798,-176.539,269.62,3730.58,-165.686,7.706,3751.82,165.489,499.504,3850.9,265.972,470.188,3634.67,209.191,710.188,3551.26,13.3401,296.95,3893.76,1.72449,114.745,3900.63,-96.6813,54.1653,3896.26,-46.1992,-315.755,3873.23,-14.8767,-627.711,3994.18,95.9699,51.8287,3917.64,76.8845,-321.549,3905.63,37.7537,-644.178,3991.11,-167.495,51.3585,3748.28,218.629,670.187,3565.16,29.2403,574.854,3811.91
2019-06-06-16-18-29-371,145,46.3831,676.317,3797.84,25.3566,505.379,3832.27,-106.94,489.485,3797.93,-173.261,266.974,3731.96,-165.531,4.02374,3751.6,168.199,500.381,3845.57,276.336,428.722,3642.54,199.763,674.809,3600.84,13.5869,295.722,3893.96,2.25486,113.76,3901.5,-97.0982,52.5345,3896.28,-45.7089,-319.819,3872.99,-14.5725,-631.89,3995.97,97.0414,49.7305,3917.83,76.4575,-326.099,3905.28,41.0657,-649.468,3992.75,-166.819,47.8489,3748.32,212.502,633.786,3607.79,29.2406,574.562,3811.92
2019-06-06-16-18-29-634,145,44.7639,676.882,3797.1,25.7544,504.828,3832.72,-107.949,488.801,3797.84,-171.085,263.774,3734.94,-164.796,-0.201457,3753.29,171.445,503.548,3844.71,289.996,386.751,3671.25,188.452,628.241,3640.68,15.2122,295.491,3895.47,3.93374,113.786,3902.2,-95.091,54.4303,3896.44,-45.6725,-320.133,3872.98,-14.4956,-633.264,3996.69,97.8682,50.0651,3917.95,76.1077,-327.635,3905.1,42.0499,-651.979,3994.33,-165.844,43.7944,3750.23,205.375,587.989,3645.78,29.2473,574.212,3811.92
2019-06-06-16-18-29-895,145,43.8712,676.98,3794.85,26.5516,504.241,3833.2,-109.05,488.03,3797.73,-168.675,261.103,3735.11,-164.59,-3.83949,3754.35,173.43,504.01,3843.96,286.289,345.819,3700.04,186.897,589.352,3663,18.4304,295.795,3896.89,7.0724,114.493,3902.59,-91.6345,57.9914,3896.7,-45.4904,-319.842,3873.07,-14.0198,-633.952,3998.32,99.6484,51.0558,3918.22,76.2613,-329.398,3905.3,42.3632,-654.853,3996.27,-165.271,40.3177,3751.14,203.468,548.763,3669.18,29.259,573.852,3811.93
