2019-06-11-16-01-15-208,41,-856.016,206.577,2290.7,-858.807,34.2071,2311.51,-964.264,26.9567,2361.97,-964.264,-212.526,2361.97,-964.264,-520.539,2361.97,-732.515,13.3559,2285.79,-784.042,-181.376,2156.26,-784.042,-489.389,2156.26,-866.973,-176.55,2392.68,-869.876,-350.523,2408.01,-957.857,-400.46,2445.2,-1046.22,-737.633,2364.12,-1046.22,-1074.26,2364.12,-779.348,-404.335,2430.57,-792.432,-753.536,2353.41,-792.432,-1090.16,2353.41,-964.264,-431.151,2361.97,-784.042,-400.002,2156.26,-856.2,101.478,2285.6,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,0,0,0,2
2019-06-11-16-01-15-350,41,-849.608,209.73,2292.51,-853.117,38.1969,2316.32,-959.896,31.4066,2367.14,-937.631,-185.538,2393.03,-937.631,-493.551,2393.03,-726.363,19.8022,2291.38,-770.106,-177.631,2164.54,-698.479,-466.413,2205.94,-856.582,-170.459,2401.5,-859.75,-344.168,2417.93,-947.126,-391.669,2452.16,-1037.19,-728.262,2370.62,-991.076,-1017.09,2403.15,-769.746,-395.155,2435.02,-787.659,-744.769,2361.48,-730.556,-931.327,2644.01,-937.631,-404.163,2393.03,-698.479,-377.025,2205.94,-852.036,104.838,2289.11,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,2,0,0,2
2019-06-11-16-01-15-489,41,-816.568,222.403,2311.72,-825.598,54.6619,2340.82,-930.967,51.3486,2398.22,-871.482,-147.806,2458.79,-871.482,-455.82,2458.79,-698.954,40.1278,2318.21,-708.673,-165.701,2212.48,-579.148,-448.482,2305.91,-818.456,-147.134,2437.62,-822.169,-320.599,2456.67,-904.622,-371.382,2488.26,-983.546,-711.391,2409.9,-872.34,-1012.42,2486.47,-737.099,-375.08,2465.87,-761.388,-726.125,2400.79,-729.515,-938.685,2644.95,-871.482,-366.432,2458.79,-579.148,-359.095,2305.91,-827.964,119.233,2309.79,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,2,0,0,2
2019-06-11-16-01-15-629,41,-748.989,238.514,2370.57,-772.095,80.1911,2394.69,-875.209,76.7986,2459.02,-814.075,-136.842,2521.68,-814.075,-444.856,2521.68,-649.189,64.7374,2383.84,-606.744,-147.091,2330.76,-489.825,-433.728,2455.25,-753.125,-112.279,2504.36,-754.837,-285.77,2522.94,-836.645,-339.932,2533.88,-876.359,-686.688,2465.86,-760.336,-997.133,2521.32,-671.309,-343.436,2520.47,-714.803,-684.465,2429.93,-717.055,-936.353,2636.78,-814.075,-355.468,2521.68,-489.825,-344.34,2455.25,-778.293,142.228,2359.25,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,2,0,0,2
2019-06-11-16-01-15-776,41,-667.279,253.649,2465.3,-700.734,100.195,2482.82,-807.269,94.7614,2547.2,-753.408,-133.991,2615.17,-753.408,-442.007,2615.17,-580.188,78.3564,2480.44,-502.885,-136.871,2473.75,-423.603,-439.119,2580.68,-679.771,-88.6044,2592.5,-676.424,-261.983,2598.1,-765.058,-304.784,2602.02,-728.731,-638.846,2638.28,-598.462,-928.526,2783.86,-585.582,-296.222,2587.7,-669.452,-624.401,2482.79,-699.11,-922.405,2603.17,-753.408,-352.619,2615.17,-423.603,-349.73,2580.68,-707.626,162.156,2446.79,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,2,0,0,2
2019-06-11-16-01-15-920,41,-592.641,269.718,2576.19,-621.716,111.478,2597.21,-736.143,101.261,2653.88,-770.196,-117.047,2772.84,-863.708,-345.728,2693.55,-502.021,81.1703,2590.05,-414.992,-135.906,2619.07,-352.253,-374.051,2601.67,-601.31,-77.7719,2697.85,-590.022,-250.366,2691.54,-668.983,-309.532,2714.43,-598.898,-638.837,2802.75,-461.767,-953.064,3047.5,-495.575,-288.26,2689.83,-616.924,-598.097,2567.06,-671.625,-917.452,2593.03,-848.123,-307.614,2706.76,-354.391,-334.905,2619.92,-628.531,174.844,2563.57,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-11-16-01-16-063,41,-534.904,282.213,2681.28,-545.082,119.793,2719.26,-673.127,111.192,2757.89,-760.104,-116.202,2786.56,-853.245,-346.874,2710.69,-423.652,88.4437,2687.39,-349.005,-131.576,2747.46,-338.998,-374.48,2624.69,-526.081,-69.9365,2813.43,-508.021,-241.576,2802.05,-595.759,-285.194,2818.75,-514.716,-615.343,2923.43,-460.482,-949.814,3044.59,-407.89,-272.214,2800.18,-551.785,-570.065,2666.71,-613.997,-896.937,2629.51,-837.719,-308.427,2723.34,-342.189,-335.02,2642.1,-551.509,184.162,2687.36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-11-16-01-16-201,41,-486.662,296.045,2771.2,-480.122,135.424,2829.12,-620.142,131.123,2845.39,-725.681,-106.48,2838.81,-809.844,-346.443,2786.92,-358.616,105.119,2779.14,-299.059,-117.072,2859.09,-288.482,-365.582,2706.18,-463.208,-54.1087,2921.64,-443.073,-225.05,2913.69,-536.943,-260.355,2920.08,-462.944,-597.33,3015.29,-448.618,-939.78,3020.76,-346.569,-252.526,2885.72,-480.524,-555.916,2751.38,-505.416,-891.51,2761.36,-795.761,-306.437,2795.57,-296.037,-325.9,2720.58,-485.884,200.063,2797.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-11-16-01-16-340,41,-442.378,315.594,2840.35,-432.221,156.461,2910.6,-576.849,149.324,2907.69,-670.251,-88.2599,2916.55,-736.484,-340.066,2897.67,-308.367,130.049,2850.17,-255.547,-90.9745,2939.93,-210.984,-337.757,2809.25,-417.603,-31.3173,3006,-400.169,-201.927,3005.83,-492.614,-246.596,2995.3,-448.091,-591.792,3017.99,-444.586,-937.385,3024.28,-314.331,-247.467,2962.74,-393.751,-567.341,2838.95,-356.629,-890.689,2912.95,-725.367,-298.079,2900.82,-224.025,-298.335,2821.61,-437.218,220.614,2878.03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2019-06-11-16-01-16-483,41,-396.694,337.683,2890.97,-392.469,179.105,2964.49,-533.391,163.137,2952.32,-610.323,-70.8511,2972.62,-661.809,-331.868,2975.89,-265.883,152.135,2916.83,-208.673,-67.6059,2998.63,-136.832,-316.506,2915.6,-383.024,-8.65987,3060.77,-373.266,-179.545,3067.97,-462.63,-240.036,3050,-437.633,-586.191,3013.5,-445.918,-933.302,3027.98,-288.498,-242.206,3034.41,-295.364,-574.142,2932.28,-220.546,-876.452,3066.06,-653.187,-288.356,2975.34,-152.615,-276.052,2923.84,-395.704,243.198,2931.64,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
